,version,Test_Acc,ROC_AUC,F1_score
0,base,0.7903454803596782,0.6911035384163038,0.5484199796126402
1,ver1,0.7747278750591576,0.695837812632082,0.5543071161048689
2,ver2,0.7813535257927118,0.7031936251539042,0.5657894736842105
3,ver3,0.780407004259347,0.7002728926622195,0.5614366729678639
4,ver4,0.7775674396592522,0.6994781042688866,0.5599250936329588
5,ver5,0.7785139611926172,0.6967078302736278,0.5559772296015181
6,ver6,0.7747278750591576,0.6935614100373045,0.5509433962264151
7,ver7,0.7785139611926172,0.7041061387066542,0.5666666666666667
